order,family,upham_species,mdd_species,mcc_tree_name,sex_chr,citation
CETARTIODACTYLA,BOVIDAE,Beatragus_hunteri,Beatragus_hunteri,Beatragus_hunteri_BOVIDAE_CETARTIODACTYLA,0,Steiner et al 2014
CETARTIODACTYLA,BOVIDAE,Bison_bison,Bos_bison,Bison_bison_BOVIDAE_CETARTIODACTYLA,0,Buckland and Evans 1978
CETARTIODACTYLA,BOVIDAE,Bison_bonasus,Bos_bonasus,Bison_bonasus_BOVIDAE_CETARTIODACTYLA,0,Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Bos_frontalis,Bos_frontalis,Bos_frontalis_BOVIDAE_CETARTIODACTYLA,0,Chi et al 2005
CETARTIODACTYLA,BOVIDAE,Bos_gaurus,Bos_gaurus,Bos_gaurus_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Bos_grunniens,Bos_grunniens,Bos_grunniens_BOVIDAE_CETARTIODACTYLA,0,Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Bos_indicus,Bos_taurus,Bos_indicus_BOVIDAE_CETARTIODACTYLA,0,Hayes 1995
CETARTIODACTYLA,BOVIDAE,Bos_javanicus,Bos_javanicus,Bos_javanicus_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Bos_mutus,Bos_mutus,Bos_mutus_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Bos_sauveli,Bos_sauveli,Bos_sauveli_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Bos_taurus,Bos_taurus,Bos_taurus_BOVIDAE_CETARTIODACTYLA,0,Hayes 1995
CETARTIODACTYLA,BOVIDAE,Boselaphus_tragocamelus,Boselaphus_tragocamelus,Boselaphus_tragocamelus_BOVIDAE_CETARTIODACTYLA,1,Gallagher et al 1998
CETARTIODACTYLA,BOVIDAE,Bubalus_arnee,Bubalus_arnee,Bubalus_arnee_BOVIDAE_CETARTIODACTYLA,NA,
CETARTIODACTYLA,BOVIDAE,Bubalus_depressicornis,Bubalus_depressicornis,Bubalus_depressicornis_BOVIDAE_CETARTIODACTYLA,0,CRES San Diego (Unpublished); Graphodatsky et al 2020
CETARTIODACTYLA,BOVIDAE,Bubalus_mindorensis,Bubalus_mindorensis,Bubalus_mindorensis_BOVIDAE_CETARTIODACTYLA,0,Tanaka et al 2000
